;set_temperature__sum_values;set_temperature__median;set_temperature__mean;set_temperature__length;set_temperature__standard_deviation;set_temperature__variance;set_temperature__root_mean_square;set_temperature__maximum;set_temperature__absolute_maximum;set_temperature__minimum;real_temperature__sum_values;real_temperature__median;real_temperature__mean;real_temperature__length;real_temperature__standard_deviation;real_temperature__variance;real_temperature__root_mean_square;real_temperature__maximum;real_temperature__absolute_maximum;real_temperature__minimum
DO100020000007E67A341;240240.0;240.0;240.0;1001.0;0.0;0.0;240.0;240.0;240.0;240.0;31343.312000000005;31.312;31.312000000000005;1001.0;3.552713678800501e-15;1.262177448353619e-29;31.312000000000005;31.312;31.312;31.312
DO100B70000007E6FDD41;240240.0;240.0;240.0;1001.0;0.0;0.0;240.0;240.0;240.0;240.0;17329.312000000005;17.312;17.312000000000005;1001.0;3.552713678800501e-15;1.262177448353619e-29;17.312;17.312;17.312;17.312
DO101100000007E6A9D41;153840.0;240.0;240.0;641.0;0.0;0.0;240.0;240.0;240.0;240.0;20912.625;32.625;32.625;641.0;0.0;0.0;32.625;32.625;32.625;32.625
DO101690000007E6CE141;153840.0;240.0;240.0;641.0;0.0;0.0;240.0;240.0;240.0;240.0;19871.0;31.0;31.0;641.0;0.0;0.0;31.0;31.0;31.0;31.0
DO1042800000069FECD41;180240.0;240.0;240.0;751.0;0.0;0.0;240.0;240.0;240.0;240.0;16121.716999999995;21.467;21.466999999999995;751.0;3.552713678800501e-15;1.262177448353619e-29;21.467;21.467;21.467;21.467
DO104C80000006A00DC41;180240.0;240.0;240.0;751.0;0.0;0.0;240.0;240.0;240.0;240.0;17021.414999999994;22.665;22.664999999999992;751.0;7.105427357601002e-15;5.048709793414476e-29;22.665;22.665;22.665;22.665
DO105100000006A058341;180240.0;240.0;240.0;751.0;0.0;0.0;240.0;240.0;240.0;240.0;22376.796;29.796;29.796;751.0;0.0;0.0;29.796000000000003;29.796;29.796;29.796
DO105EB00000069FD8641;180240.0;240.0;240.0;751.0;0.0;0.0;240.0;240.0;240.0;240.0;23449.975;31.225;31.224999999999998;751.0;3.552713678800501e-15;1.262177448353619e-29;31.22500000000001;31.225;31.225;31.225
DO1061D00000069FCED41;147840.0;240.0;240.0;616.0;0.0;0.0;240.0;240.0;240.0;240.0;19404.0;31.5;31.5;616.0;0.0;0.0;31.5;31.5;31.5;31.5
DO106CE00000069FC1541;147840.0;240.0;240.0;616.0;0.0;0.0;240.0;240.0;240.0;240.0;27318.368000000002;44.348;44.348000000000006;616.0;7.105427357601002e-15;5.048709793414476e-29;44.348;44.348;44.348;44.348
DO108020000007E67A341;51333.0;213.0;213.0;241.0;0.0;0.0;213.0;213.0;213.0;213.0;5844.25;24.25;24.25;241.0;0.0;0.0;24.25;24.25;24.25;24.25
DO108B70000007E6FDD41;51333.0;213.0;213.0;241.0;0.0;0.0;213.0;213.0;213.0;213.0;5769.057999999998;23.938;23.93799999999999;241.0;7.105427357601002e-15;5.048709793414476e-29;23.938000000000002;23.938;23.938;23.938
DO109100000007E6A9D41;51333.0;213.0;213.0;241.0;0.0;0.0;213.0;213.0;213.0;213.0;4051.6920000000014;16.812;16.812000000000005;241.0;3.552713678800501e-15;1.262177448353619e-29;16.812;16.812;16.812;16.812
DO109690000007E6CE141;51333.0;213.0;213.0;241.0;0.0;0.0;213.0;213.0;213.0;213.0;4744.807999999999;19.688;19.687999999999995;241.0;3.552713678800501e-15;1.262177448353619e-29;19.688;19.688;19.688;19.688
DO125020000007E67A341;87840.0;240.0;240.0;366.0;0.0;0.0;240.0;240.0;240.0;240.0;9401.807999999997;25.688;25.68799999999999;366.0;7.105427357601002e-15;5.048709793414476e-29;25.688;25.688;25.688;25.688
DO125760000007E6C8541;87840.0;240.0;240.0;366.0;0.0;0.0;240.0;240.0;240.0;240.0;17339.25;47.375;47.375;366.0;0.0;0.0;47.375;47.375;47.375;47.375
DO1260C0000007E66C341;97440.0;240.0;240.0;406.0;0.0;0.0;240.0;240.0;240.0;240.0;11241.327999999998;27.688;27.687999999999995;406.0;3.552713678800501e-15;1.262177448353619e-29;27.688;27.688;27.688;27.688
DO126100000007E6A9D41;97440.0;240.0;240.0;406.0;0.0;0.0;240.0;240.0;240.0;240.0;9160.172000000002;22.562;22.562000000000005;406.0;3.552713678800501e-15;1.262177448353619e-29;22.561999999999998;22.562;22.562;22.562
DO127690000007E6CE141;87840.0;240.0;240.0;366.0;0.0;0.0;240.0;240.0;240.0;240.0;9744.75;26.625;26.625;366.0;0.0;0.0;26.625;26.625;26.625;26.625
DO127B70000007E6FDD41;87840.0;240.0;240.0;366.0;0.0;0.0;240.0;240.0;240.0;240.0;9859.307999999997;26.938;26.93799999999999;366.0;7.105427357601002e-15;5.048709793414476e-29;26.937999999999995;26.938;26.938;26.938
DO128C80000006A00DC41;88560.0;240.0;240.0;369.0;0.0;0.0;240.0;240.0;240.0;240.0;20273.229000000007;54.941;54.94100000000002;369.0;1.4210854715202004e-14;2.0194839173657902e-28;54.94100000000001;54.941;54.941;54.941
DO128CE00000069FC1541;88560.0;240.0;240.0;369.0;0.0;0.0;240.0;240.0;240.0;240.0;13773.663;37.327;37.327;369.0;0.0;0.0;37.327;37.327;37.327;37.327
DO1291D00000069FCED41;66000.0;240.0;240.0;275.0;0.0;0.0;240.0;240.0;240.0;240.0;15629.074999999993;56.833;56.83299999999998;275.0;2.1316282072803006e-14;4.543838814073028e-28;56.833;56.833;56.833;56.833
DO1292800000069FECD41;66000.0;240.0;240.0;275.0;0.0;0.0;240.0;240.0;240.0;240.0;18472.85;67.174;67.17399999999999;275.0;1.4210854715202004e-14;2.0194839173657902e-28;67.174;67.174;67.174;67.174
DO130100000006A058341;57840.0;240.0;240.0;241.0;0.0;0.0;240.0;240.0;240.0;240.0;16079.520000000004;66.72;66.72000000000001;241.0;1.4210854715202004e-14;2.0194839173657902e-28;66.72000000000001;66.72;66.72;66.72
DO130EB00000069FD8641;57840.0;240.0;240.0;241.0;0.0;0.0;240.0;240.0;240.0;240.0;20043.005999999994;83.166;83.16599999999997;241.0;2.842170943040401e-14;8.077935669463161e-28;83.166;83.166;83.166;83.166
DO133020000007E67A341;47280.0;240.0;240.0;197.0;0.0;0.0;240.0;240.0;240.0;240.0;4728.0;24.0;24.0;197.0;0.0;0.0;24.0;24.0;24.0;24.0
DO133760000007E6C8541;47280.0;240.0;240.0;197.0;0.0;0.0;240.0;240.0;240.0;240.0;12608.0;64.0;64.0;197.0;0.0;0.0;64.0;64.0;64.0;64.0
DO1340C0000007E66C341;38640.0;240.0;240.0;161.0;0.0;0.0;240.0;240.0;240.0;240.0;8372.0;52.0;52.0;161.0;0.0;0.0;52.0;52.0;52.0;52.0
DO134100000007E6A9D41;38640.0;240.0;240.0;161.0;0.0;0.0;240.0;240.0;240.0;240.0;9177.0;57.0;57.0;161.0;0.0;0.0;57.0;57.0;57.0;57.0
DO135690000007E6CE141;39600.0;240.0;240.0;165.0;0.0;0.0;240.0;240.0;240.0;240.0;8992.5;54.5;54.5;165.0;0.0;0.0;54.5;54.5;54.5;54.5
DO135B70000007E6FDD41;39600.0;240.0;240.0;165.0;0.0;0.0;240.0;240.0;240.0;240.0;6930.0;42.0;42.0;165.0;0.0;0.0;42.0;42.0;42.0;42.0
